ID,Month,Year,Enrollment,Victims_Killed,Victims_Injured,Day_of_Week,During_Class,Time_Period,City,State,Density,School_Level,Location,Location_Type,Students_Killed,Staff_Killed,Students_Injured,Staff_Injured,Situation,Drive_By_,Gang_,Active_Shooter_,Preplanned_,Perpetrator_Race,Perpetrator_Affiliation,Perpetrator_Outcome,Accomplice_,Leakage,Legacy_Token,Prior_Police_Contact,Other_Weapons,Mental_Health_Concerns,Suicidal,Psychiatric_Medication,Prior_Hospitalization,Substance_Use,Trauma_History,Suspended__Expelled,School_Violence,Studied_Other_Shooters,Interest_in_Violence,Warning_Signs,Current_Stressors
111,9,2016,275,2,3,Wednesday,Yes,Afternoon Classes,Townville,SC,Rural,Elementary,Playground,Outside on School Property,Yes,No evidence of,Yes,Yes,Other,No,No evidence of,Yes,Yes,White,Former Student,Apprehended,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,Yes,Yes,Yes,Yes
N19,9,2004,317,1,0,Sunday,No,Night,Benton City,WA,Rural,Elementary,Hallway,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Robbery,No,Yes,No evidence of,Yes,White,Unknown,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
42,8,2006,527,2,2,Thursday,No,Not a School Day,Essex Junction,VT,Rural,Elementary,Classroom,Inside School Building,No evidence of,Yes,No evidence of,Yes,Domestic,No,No evidence of,No evidence of,Yes,Black,Other,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,Yes,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,Yes,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
74,2,2011,371,1,0,Wednesday,Yes,Morning Classes,Placerville,CA,Rural,Elementary,Office,Inside School Building,No evidence of,Yes,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,White,Staff,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,Yes
N48,5,2014,234,1,0,Tuesday,Yes,Morning Classes,Greenville,MS,Rural,Elementary,Parking Lot,Outside on School Property,No evidence of,Yes,No evidence of,No evidence of,Escalation of a Dispute,No,No evidence of,No evidence of,Yes,Black,None,Fled & Later Apprehended,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
N59,9,2018,386,1,0,Wednesday,No,Night,Elyria,OH,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,No evidence of,No evidence of,Yes,White,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
141,1,2019,414,1,0,Monday,No,Night,Belmont,CA,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Unknown,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,N/A,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
253,5,2023,286,1,0,Thursday,No,Evening,Forestville,MD,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Robbery,No,Unknown,No evidence of,Yes,Black,None,Fled & Later Apprehended,Yes,No evidence of,No evidence of,Yes,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
228,5,2022,571,21,17,Monday,Yes,Morning Classes,Uvalde,TX,Suburban,Elementary,Inside School Building,Inside School Building,Yes,Yes,Yes,Yes,Unknown,No,No evidence of,Yes,Yes,Latino,Former Student,Killed,No evidence of,Yes,No evidence of,No evidence of,Yes,No evidence of,Yes,No evidence of,No evidence of,No evidence of,Yes,Yes,Yes,Yes,Yes,Yes,Yes
169,8,2020,207,1,1,Tuesday,No,Not a School Day,Pittsburg,PA,Suburban,Elementary,Beside Building,Outside on School Property,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
179,1,2021,521,1,0,Thursday,No,Before School,Wheaton-Glenmont,MD,Suburban,Elementary,Parking Lot,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
189,4,2021,329,1,1,Sunday,No,Not a School Day,Dayton,OH,Suburban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,Unknown,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
214,2,2022,227,1,0,Monday,No,Evening,Landover,MD,Suburban,Elementary,Playground,Outside on School Property,No evidence of,No evidence of,No evidence of,No evidence of,Unknown,No,Unknown,No evidence of,Unknown,Unknown,Unknown,Escaped,Unknown,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of
158,11,2019,717,2,0,Sunday,No,Night,Union City,CA,Suburban,Elementary,Parking Lot,Outside on School Property,Yes,No evidence of,No evidence of,No evidence of,Unknown,Yes,Yes,No evidence of,No evidence of,Latino,None,Fled & Later Apprehended,Yes,Yes,No evidence of,No evidence of,Yes,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,No evidence of,Yes,No evidence of
